Заголовок новости,Ссылка,Рубрика,Дата публикации,Количество просмотров,Частота публикаций,Метка рубрики
"В «БашРТС» и «УИС» рассказали, как жителям Башкирии не разориться на отоплении",https://ufa1.ru/text/house/2022/11/03/71791031/,Мой дом,2022-11-03 21:33:00,8361,84780,14
В Уфе завершилась реконструкция развязки на Валиди — Юлаева. Вот как там теперь,https://ufa1.ru/text/gorod/2022/11/03/71790620/,Город,2022-11-03 20:05:32,4328,81152,12
"После давки на школьной олимпиаде в Уфе организаторы придумали, как извиниться перед детьми",https://ufa1.ru/text/education/2022/11/03/71790419/,Образование  Происшествия,2022-11-03 19:32:00,4400,84388,16
МАГАТЭ отчиталось о результатах проверки в связи с заявлениями о «грязной бомбе»,https://ufa1.ru/text/world/2022/11/03/71790617/,Страна и мир,2022-11-03 19:23:00,1371,85860,18
«Из-за светофора на Галле»: в конце сокращенного дня центр Уфы встал в пробках,https://ufa1.ru/text/transport/2022/11/03/71790242/,Дороги и транспорт,2022-11-03 18:50:00,5154,84420,19
Самолет из Сочи не долетел до Уфы из-за трещины на лобовом стекле,https://ufa1.ru/text/incidents/2022/11/03/71789984/,Происшествия,2022-11-03 18:07:00,16507,83820,25
"В Уфе открыли стелу «Город трудовой доблести». Смотрим, как выглядит новый объект за 95 миллионов рублей",https://ufa1.ru/text/gorod/2022/11/03/71789195/,Город,2022-11-03 18:00:00,9479,85980,12
Экс-полицейский на блатных номерах возглавил один из районов Уфы,https://ufa1.ru/text/politics/2022/11/03/71789822/,Политика,2022-11-03 17:23:00,9701,84180,22
"Старость — болезнь, которую можно вылечить. Профессор назвал 8 проверенных рецептов от этого недуга",https://ufa1.ru/text/health/2022/11/03/71787902/,Здоровье,2022-11-03 17:00:00,6280,85020,23
Повестку «после мобилизации» в Уфе назвали фейком,https://ufa1.ru/text/politics/2022/11/03/71789480/,Политика,2022-11-03 16:20:00,4340,84000,22
После избиения четырехлетней девочки в детсаду в Башкирии возбудили уголовное дело,https://ufa1.ru/text/incidents/2022/11/03/71789525/,Происшествия,2022-11-03 15:52:00,4064,84720,25
В Кремле прокомментировали заявление Медведева о возможности вернуть смертную казнь,https://ufa1.ru/text/politics/2022/11/03/71789447/,Политика,2022-11-03 15:27:00,2245,84900,22
В Кремле ответили на предложение увеличить срок службы в армии до двух лет,https://ufa1.ru/text/world/2022/11/03/71789390/,Страна и мир,2022-11-03 15:17:00,1922,85800,18
"Ни в одном глазу: врачи — о том, почему мы не можем уснуть, поможет ли мелатонин и какое время лучшее для сна",https://ufa1.ru/text/health/2022/11/03/71787209/,Здоровье,2022-11-03 15:00:00,3219,85380,23
Уфимский институт МВД опроверг причастность их студента к попытке совершить теракт,https://ufa1.ru/text/incidents/2022/11/03/71789345/,Происшествия,2022-11-03 15:00:00,5610,0,25
"Ждем похолодания и снега: рассказываем, какой будет погода на выходных в Башкирии",https://ufa1.ru/text/autumn/2022/11/03/71788820/,Осень,2022-11-03 14:30:00,4254,84600,9
«Он не любит политику в нашей стране»: поговорили с другом обвиняемого в терроризме уфимского студента,https://ufa1.ru/text/incidents/2022/11/03/71788481/,Происшествия,2022-11-03 13:30:00,11939,82800,25
Следы Тунгусского метеорита. Ученые подобрались к решению одной из самых больших загадок XX века,https://ufa1.ru/text/science/2022/11/03/71787419/,Наука,2022-11-03 13:00:00,2128,84600,10
"Уфимке, убившей 11-летнего сына из-за нового мужа, вынесли приговор. Вспоминаем подробности жуткой трагедии",https://ufa1.ru/text/incidents/2022/11/03/71788694/,Происшествия,2022-11-03 12:40:00,9743,85200,25
После объявления о завершении мобилизации жителю Уфы снова пришла повестка в военкомат. Рассказываем почему,https://ufa1.ru/text/gorod/2022/11/03/71788637/,Город,2022-11-03 12:15:00,27919,84900,12
2-месячная девочка погибла в Башкирии после ДТП,https://ufa1.ru/text/incidents/2022/11/03/71788577/,Происшествия,2022-11-03 11:27:00,5076,83520,25
